_exercise,emg_chest_1,emg_chest_2,emg_chest_3,emg_chest_4,emg_chest_5,emg_forearm_1,emg_forearm_2,emg_forearm_3,emg_forearm_4,emg_forearm_5,emg_upper_arm_1,emg_upper_arm_2,emg_upper_arm_3,emg_upper_arm_4,emg_upper_arm_5,pitch_forearm_1,pitch_forearm_2,pitch_forearm_3,pitch_forearm_4,pitch_forearm_5,pitch_upper_arm_1,pitch_upper_arm_2,pitch_upper_arm_3,pitch_upper_arm_4,pitch_upper_arm_5,roll_forearm_1,roll_forearm_2,roll_forearm_3,roll_forearm_4,roll_forearm_5,roll_upper_arm_1,roll_upper_arm_2,roll_upper_arm_3,roll_upper_arm_4,roll_upper_arm_5
chest flye,1022.4068284656723,1018.3669271904548,1045.8860551213388,912.70341423279103,960.53846153850748,187.77844508427157,137.6585767173915,146.73344302756678,170.33113944879224,209.79925956398264,200.63315508039648,707.34965034977802,891.97408473885059,995.95146030441572,1016.8638420403203,-11.992078979842759,-28.949469354177445,-24.170670505965727,-29.473418346359612,-20.989444672958516,0.0,0.0,0.0,0.0,0.0,-54.724379267781501,14.355693130408874,15.255100781576095,23.03648704236727,19.69681201152066,0.0,0.0,0.0,0.0,0.0
chest flye,149.31797614158617,784.15343480073568,1089.8844097079173,1033.0320855614964,1022.9999999999985,224.11929247225672,267.7651172357327,370.43809132047613,374.54668860550055,335.45907034138992,494.20649938295048,365.97860962559224,192.56807897980596,198.00946112716048,394.19169066233781,-8.8000863841997994,-10.871999177296196,-19.987305635541894,-17.742443438913018,-5.4348951048900815,0.0,0.0,0.0,0.0,0.0,80.341888111891791,77.866314273958125,68.987984368571347,70.234138214727565,83.437906211440051,0.0,0.0,0.0,0.0,0.0
chest flye,134.26984779930004,542.05018510923742,1080.3504730564141,988.78897573015058,1044.2447552447413,401.75154257511576,439.23693953103401,308.45783628132045,261.63883175649318,355.62690250929194,150.99259563964625,172.49033319622598,199.09419991773748,199.41711229945093,228.1916906623479,2.5422788975781261,-6.2692636775018959,-4.746301933359967,3.3815590292099706,16.362213081038387,0.0,0.0,0.0,0.0,0.0,78.341826408889006,76.968593171535474,87.192237762240836,82.169670917311109,65.098440970789653,0.0,0.0,0.0,0.0,0.0
chest flye,39.472645002343796,783.554504319476,1096.8930481283228,989.52283011099018,646.25051419155761,257.44524886899194,547.2459893049471,666.66762649110694,519.87412587411598,518.2825997531578,125.26524064194496,382.9646236118117,580.41916906622794,558.50596462360647,486.29658576717748,-28.149966269025768,-22.113463595226055,-18.473648704237199,-20.271048951047383,-15.274508432743563,0.0,0.0,0.0,0.0,0.0,4.0795475113199142,7.1529823118073361,10.604380913204761,9.0148004936249464,17.396351295767236,0.0,0.0,0.0,0.0,0.0
chest flye,776.54298642534479,891.10119292475486,1061.0320855615214,1007.5314685314696,1015.1879884820473,722.47716988883258,573.64171122991797,483.85602632660454,585.39201974498962,496.32044426157148,447.38831756481983,488.71081859317098,480.04936240232263,521.6593994240643,299.30316742075331,-4.2018305224235917,-15.432418757710247,-4.4250966680400641,-17.422949403538162,-11.963422459892989,0.0,0.0,0.0,0.0,0.0,62.020781571362114,41.954450843267807,24.244619498141851,14.362825997531651,12.057128753598219,0.0,0.0,0.0,0.0,0.0
chest flye,283.11476758542892,849.11723570567062,1092.133278486207,984.82394076503749,628.8922254214948,410.50390785684846,416.18222953518728,521.43932538053662,563.12464006582354,589.94940353765401,356.98642533934969,349.29740847388854,353.71781160014251,241.79144385022332,162.22583299053261,-19.403336075690174,-20.139831345124303,-15.552011517892844,-16.498395721927778,-25.364845742494399,0.0,0.0,0.0,0.0,0.0,52.475812422867612,42.153994241047982,26.523488276424374,18.052496914847762,14.297951460304505,0.0,0.0,0.0,0.0,0.0
chest flye,39.770876182741915,779.3907856851705,1090.4315096667806,1033.7116412998757,1022.9999999999985,1023.3628136569317,1015.2628547922269,783.11353352520439,691.63471822300016,873.61785273546695,313.40230357885667,534.22542163720288,420.5577951459897,412.53928424518608,445.58617852733209,4.2743644590739986,2.0645372274741134,-7.5647429041551923,-5.2191320444266838,-11.800333196217784,0.0,0.0,0.0,0.0,0.0,81.422110242697386,74.420534759352108,49.51566844918834,30.000057589462262,13.617811600162009,0.0,0.0,0.0,0.0,0.0
chest flye,412.79226655685619,586.68778280562458,1079.1583710407708,1000.4969148498548,1022.9999999999985,354.87741670091725,413.27025915265182,510.28177704653024,674.29494035375785,519.32414644176617,745.51748251745187,545.98971616609845,354.96215549154982,434.96051007818085,467.23035787740639,-9.7069642122531796,-6.571353352530549,-11.02663101604333,-16.364878650764073,-22.148831756480828,0.0,0.0,0.0,0.0,0.0,77.594014808729,81.092443438913833,78.731053064581232,70.787235705466657,63.704524886876456,0.0,0.0,0.0,0.0,0.0
chest flye,169.7992595638251,776.8251748254271,1087.7046482928613,1033.1818181818171,1022.9999999999985,848.65553270260364,525.35088440964864,618.91402714938715,675.28424516659072,681.90456602223492,265.7481694775949,188.13286713289909,435.06375976972657,547.47799259566193,585.20567667628131,-19.962008227064238,-18.315331139448134,-17.393969559851243,-18.505133689840477,-13.477252159603959,0.0,0.0,0.0,0.0,0.0,15.090083093364399,9.9228465651964743,6.1215508021382377,4.5947264500217946,14.058107774581515,0.0,0.0,0.0,0.0,0.0
bench press,293.46770876190675,497.88399835468977,855.8227067050916,499.10242698460843,216.73056355407044,99.390374331545445,75.658165364036549,54.431921020150838,39.132867132861008,28.118469765527148,335.9020979020861,174.46976552853036,122.84368572603542,87.953928424503545,73.339777869189177,-7.7451624845730818,-3.9888852324134185,-5.7125421637189469,-2.3218017276838174,0.14477581242274973,0.0,0.0,0.0,0.0,0.0,82.13718222953635,85.808531468532479,84.329740847387569,87.340090497737393,85.651057178114186,0.0,0.0,0.0,0.0,0.0
