_exercise,emg_chest_1,emg_chest_2,emg_chest_3,emg_chest_4,emg_forearm_1,emg_forearm_2,emg_forearm_3,emg_forearm_4,emg_upper_arm_1,emg_upper_arm_2,emg_upper_arm_3,emg_upper_arm_4,pitch_forearm_1,pitch_forearm_2,pitch_forearm_3,pitch_forearm_4,pitch_upper_arm_1,pitch_upper_arm_2,pitch_upper_arm_3,pitch_upper_arm_4,roll_forearm_1,roll_forearm_2,roll_forearm_3,roll_forearm_4,roll_upper_arm_1,roll_upper_arm_2,roll_upper_arm_3,roll_upper_arm_4
bicep curl,-70.473879062115515,772.8515014400117,970.80666392430965,1022.9999999999985,94.518305224205506,260.39531057183973,342.91937474288454,333.8519127931051,368.53558206513105,673.16207322096864,866.73549979437428,874.65199506368253,-24.458708350472765,-30.479387083508694,-55.743599341840081,-59.125952283007948,0.0,0.0,0.0,0.0,-65.70900863842067,-52.707828054291014,-18.376610448367302,0.8311723570582914,0.0,0.0,0.0,0.0
bicep curl,76.021801727686338,74.528177704646055,75.282188399836613,76.461538461536492,87.506375976974311,173.46400658173664,606.19703825589897,611.76758535577039,642.30028794743043,919.80090497742879,1025.5627313862585,963.98683669264847,-21.021118881119111,-25.417840394902779,-41.387548334022405,-59.691205265324371,0.0,0.0,0.0,0.0,-69.106359522829621,-62.253171534341632,-29.573315508014442,-0.81677498970860785,0.0,0.0,0.0,0.0
bicep curl,76.359111476758741,74.143973673384707,80.491567256272504,72.832990538873617,94.517893870851026,279.76799670922094,354.75483340189248,557.22953517074325,344.52900041140686,709.16248457436791,945.0037021801362,897.62772521600129,-17.672558617851699,-28.783932538053541,-39.830592348831892,-55.573628136571294,0.0,0.0,0.0,0.0,-71.974997943234186,-58.6540600575836,-30.255113122163152,-2.0365775400999153,0.0,0.0,0.0,0.0
bicep curl,115.29494035376304,268.78486219687642,1055.3451254626698,321.65569724382539,337.68449197860326,397.55532702590182,191.08556149731302,240.75524475525691,611.13533525302046,474.08103661036404,546.39572192515425,418.16824352126503,-34.279633895515367,-36.744644179349898,-43.995199506382711,-65.291995063755962,0.0,0.0,0.0,0.0,36.355425750721757,35.134236939528805,15.850086384193798,-6.7613574660653821,0.0,0.0,0.0,0.0
bicep curl,-2.4356232003466296,441.52653229127174,7.4002468119985734,67.825174825173519,180.74948580834908,319.71452077339399,416.38132455777367,375.40888523238522,485.6519950637977,711.86343068701478,908.62443438910032,813.58371040723057,-22.020962566846521,-32.662369395313782,-53.160024681205947,-49.71191690661837,0.0,0.0,0.0,0.0,-67.69746194981154,-44.022344714103454,-13.679218428621965,15.267914438507642,0.0,0.0,0.0,0.0
bicep curl,403.07280954325921,78.393665158356711,186.06746194985541,120.26573426573057,298.22583299058078,841.51048951064104,1042.9403537637982,278.75820649952448,571.8091320444878,415.04154668854085,586.23364870439525,1061.1475935834953,-36.730876182636258,-20.361332784859215,-22.823323735088675,-23.111455368157358,0.0,0.0,0.0,0.0,-36.38073632250881,-67.143068696015092,-66.573722747840151,-66.791252982316308,0.0,0.0,0.0,0.0
bicep curl,-4.2237762238008685,771.70835047333264,967.01151789386938,1005.5849444672866,258.53270259151657,179.91855203618709,277.28589058004201,268.75853558207399,471.62402303577147,578.49074454962636,646.04072398189339,767.65322912373222,-50.931789387086589,-51.343216783218573,-40.614524886873021,-33.183307280951247,0.0,0.0,0.0,0.0,14.638543809128382,8.8782887700472575,-23.30432743727869,-51.934627725220821,0.0,0.0,0.0,0.0
bicep curl,591.20074043589204,748.70876182665359,993.07939119703371,1022.9999999999985,183.21390374330753,308.80954339781431,432.43192102016098,260.29617441381208,653.29617441384414,774.31509666814543,1030.8580830933431,968.25257095846518,-30.793212669685882,-45.747926779108063,-53.943891402711692,-45.541912793088777,0.0,0.0,0.0,0.0,-55.512451665976116,-23.550913204433517,1.4628712464071927,21.900835047308,0.0,0.0,0.0,0.0
bicep curl,1023.9289181408082,909.15713698073239,1002.5442204853988,1023.2879473467693,106.07721102425207,84.462772521580064,77.209790209788352,99.416289592779449,86.857671740022141,130.9354175236617,92.784039489915116,402.42739613336624,-23.937577540106922,-23.67838338132443,-23.631641299876417,-25.295750719868927,0.0,0.0,0.0,0.0,-66.063270670505858,-66.30234471410941,-66.245499794323322,-64.529489921842085,0.0,0.0,0.0,0.0
bicep curl,-50.979432332509674,761.365281777321,970.86137392019612,1022.9999999999985,303.6108597285434,567.27560674620634,416.21801727681452,438.49321266970873,318.32003290824906,247.8317564788675,507.78897573019327,925.92719045672027,-25.23315508021339,-25.898700123405934,-24.720810366105937,-36.05874948580923,0.0,0.0,0.0,0.0,-64.53800082270709,-63.700518305223945,-65.227001234057454,-46.703422459890881,0.0,0.0,0.0,0.0
chest flye,319.37844508424683,415.47881530248026,987.24845742495825,899.49485808306326,127.27930892637805,159.41752365286055,237.22501028384326,233.91279308925658,374.35828877010385,572.19498148927823,1056.2464006580799,549.32867132862395,-17.425586178526196,-19.021752365279156,-12.387897984372499,-15.18482517481827,0.0,0.0,0.0,0.0,18.305656108598289,19.649090909089008,31.251501439747265,66.136713286722753,0.0,0.0,0.0,0.0
chest flye,267.91608391600533,416.95104895109768,540.145207733436,581.16947758126742,169.1867544220689,181.46770876182148,191.19169066228042,184.80008227067472,515.83957219259742,816.01357466075069,889.80419580406908,487.10366104480465,-20.861550802139007,-20.495512134922787,-18.735080213904045,-17.883336075687545,0.0,0.0,0.0,0.0,17.961312217202106,14.366223776223785,14.115845331141571,35.501480872075177,0.0,0.0,0.0,0.0
chest flye,637.1229946525259,952.23611682440458,957.22171945698608,741.41011929236288,228.72069107365104,368.17359111478845,259.52653229125161,202.36404771693961,416.38872891817493,493.04936240227528,369.45824763470534,240.31509666801725,-8.4852036199095195,-9.0913368983968805,-14.69227889757348,-15.839843685727381,0.0,0.0,0.0,0.0,77.418354586590667,79.501637186341711,74.148190045247745,73.645557383791598,0.0,0.0,0.0,0.0
chest flye,639.30563554100991,750.35499794334442,887.48169477576471,918.62361168244001,208.07198683668906,214.44672974084421,263.003290826838,334.56972439325494,836.47058823532564,664.88728918136928,438.56437679966535,345.74208144791555,-14.352550390784295,-18.788276429453134,-7.019058000821266,1.0842616207303872,0.0,0.0,0.0,0.0,17.088749485809309,23.984792266560053,62.766199095029677,75.387379679146619,0.0,0.0,0.0,0.0
chest flye,783.50761003700234,841.0518305224341,943.56807897979195,461.21760592335585,219.74413821466175,202.06663924313236,282.1616618675373,209.74660633481463,168.53270259153203,230.30769230765944,274.78856437682725,250.61415055532635,-1.2016947758125918,-6.6342616207329037,-8.6411188811203559,-7.9439942410553748,0.0,0.0,0.0,0.0,88.260654051830912,81.837972027971631,80.842965857670009,78.423517071161939,0.0,0.0,0.0,0.0
chest flye,592.99670917335072,1009.9271904566145,1036.6631016041999,250.18552036191537,221.76552858913254,502.28794734677689,876.19292472248389,681.79761415040934,191.90086384203781,266.77951460308526,340.85767174001728,344.69642122583809,8.4771452077340061,6.1267256273122115,-1.8469847799270809,-0.027441382145724724,0.0,0.0,0.0,0.0,75.54664335664107,66.135750719865953,66.143545865901075,59.940530645821688,0.0,0.0,0.0,0.0
chest flye,331.37762237765793,540.63883175653825,658.38255861779191,744.9621554917087,127.62155491561801,206.81694775816391,341.68120115178704,256.07404360344759,468.21719457014876,585.7716988894573,966.40970793898816,379.45742492797785,-15.740304401481209,-10.816783216782202,-12.238564376800202,-6.5039448786466201,0.0,0.0,0.0,0.0,29.005717811602658,29.79830522418554,24.905446318392567,75.274417935011343,0.0,0.0,0.0,0.0
chest flye,362.82887700537435,769.72974084737177,309.55039078570388,806.20732208973334,119.12628547924061,265.53599341837804,251.21308103661286,252.65939942411495,347.93336075687046,818.72850678748796,880.00041135328524,626.47716988886214,-14.124125874126575,-7.5533813245560903,-12.881768819415807,-6.5552406417107631,0.0,0.0,0.0,0.0,23.302850678733559,21.151213492391619,35.626861373924442,49.071863430687543,0.0,0.0,0.0,0.0
chest flye,875.89058000830676,794.47470176887271,940.24105306447461,916.60921431519694,44.189633895517389,51.539695598526919,231.93089263685636,331.85849444666201,304.77663512956639,187.85643767997485,173.6482928835776,195.78198272316359,4.0662978198284421,-0.63319210201673115,-0.21140271493361218,-10.607589469357055,0.0,0.0,0.0,0.0,82.338872891813011,90.298946935418485,88.418798848209022,79.066194981485637,0.0,0.0,0.0,0.0
